guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
dsullivan@example.net,False,BASIC,8.324971454604588,04 Apr 2020,23 Apr 2020,146.83450680620874,"90469 Karla Knolls Apt. 781
Susanberg, NC 28401",5161033759518983
steven59@example.org,False,BASIC,,27 Jun 2020,16 Aug 2020,185.49781327742198,"1080 Ashley Creek Apt. 622
West Amy, NM 25058",4133047413145475690
brandon15@example.net,False,BASIC,22.26915766646229,13 Apr 2020,07 Apr 2020,151.11552809699114,"99923 Anderson Trace Suite 861
North Haley, TX 76565",4977328103788
humphreyjennifer@example.net,False,BASIC,25.468647378466635,22 May 2020,08 Jun 2020,182.46803082474815,"9301 John Parkways
Thomasland, OH 61350",3524946844839485
joshuabrown@example.net,False,BASIC,19.778310519838104,14 Nov 2019,27 Oct 2019,195.4977430212009,"126 George Tunnel
Duranstad, MS 95176",4446905799576890978
moondavid@example.com,False,BASIC,,30 Oct 2020,17 Nov 2020,88.2472317236835,"812 Kimberly Forges
East Brianafurt, AR 16834",4265310195602383
patty61@example.com,False,BASIC,16.670850840520252,07 Oct 2020,30 Aug 2020,83.8,"7999 Sheila Forges Apt. 089
West Briannahaven, MD 08696",30279530784085
michellehill@example.net,False,SUITE,13.991604948316208,01 Sep 2020,28 Aug 2020,204.26698232657492,"79445 Brandon Plains Apt. 024
Port Cynthiaport, NE 08276",2285102384715773
loganosborne@example.org,False,BASIC,18.41000823015853,09 Sep 2020,04 Sep 2020,128.38470705810698,"522 Davis Street
New Cole, AZ 17369",3541571714584497
gkey@example.org,False,BASIC,27.616676711345683,20 Oct 2020,22 Nov 2020,217.61792641541018,"77972 Wendy Lake Apt. 933
Kelseyhaven, WI 35555",676377598427
maykimberly@example.com,True,BASIC,,11 Sep 2020,26 Aug 2020,265.8850416995538,"51118 Michael Spur Apt. 742
Tamarashire, DE 99731",3592111594414982
josephknight@example.com,False,BASIC,22.79453075766415,23 Aug 2020,17 Aug 2020,176.66033212482102,"391 Lauren Forest Suite 711
Wardshire, GA 48480",4574626038921
