Survived,Pclass,Sex,SibSp,Parch,Embarked,Id,Name
0,3,male,1,0,S,1,"John Smith"
1,1,female,1,0,C,2,"Jane Doe"
1,2,female,0,1,S,3,"Alice Johnson"
0,3,male,0,0,S,4,"Bob Williams"
1,1,female,1,1,C,5,"Emily Brown"
0,3,male,0,0,S,6,"James Miller"
0,1,male,0,0,S,7,"Michael Davis"
1,3,female,3,1,Q,8,"Sarah Wilson"
0,2,male,1,0,S,9,"David Lee"
1,3,female,0,0,S,10,"Linda Taylor"
0,1,male,0,0,S,11,"William Clark"
1,2,female,2,0,S,12,"Sophia Allen"
0,3,male,1,1,C,13,"Henry Turner"
1,1,female,0,0,S,14,"Olivia Scott"
0,3,male,0,0,S,15,"Charles Adams"
1,2,female,1,0,S,16,"Grace Walker"
0,3,male,0,0,S,17,"Daniel Green"
1,1,female,0,1,C,18,"Emma Martin"
0,3,male,1,0,S,19,"Joseph Young"
1,3,female,0,0,Q,20,"Ava Hall"
0,2,male,0,0,S,21,"Alexander King"
1,2,female,2,1,S,22,"Chloe Turner"
0,3,male,0,0,S,23,"Benjamin Adams"
1,1,female,1,0,S,24,"Sophia Harris"
0,3,male,8,2,S,25,"Ethan Turner"
1,3,female,0,0,S,26,"Oliver White"
0,2,male,0,0,S,27,"Jack Roberts"
1,2,female,1,0,C,28,"Isabella Mitchell"
0,3,male,0,0,S,29,"James Anderson"
1,3,female,0,0,Q,30,"Mia Martinez"
0,1,male,0,0,S,31,"Alexander Johnson"
1,2,female,1,1,S,32,"Sophia Brown"
0,3,male,2,0,S,33,"Noah Davis"
1,3,female,1,2,S,34,"Olivia Wilson"
0,2,male,0,0,S,35,"Daniel Harris"
1,1,female,0,0,C,36,"Emma Anderson"
0,3,male,1,0,S,37,"Liam Smith"
1,3,female,2,0,Q,38,"Ava Moore"
0,1,male,1,0,S,39,"James Taylor"
1,2,female,0,0,S,40,"Isabella Miller"
0,3,male,1,0,S,41,"William Davis"
1,3,female,1,0,S,42,"Emma Harris"
0,2,male,0,0,S,43,"Benjamin Smith"
1,1,female,0,0,C,44,"Sophia Allen"
0,3,male,1,1,S,45,"Henry Turner"
1,1,female,0,0,S,46,"Olivia Scott"
0,3,male,0,0,S,47,"Charles Adams"
1,2,female,1,0,S,48,"Grace Walker"
0,3,male,0,0,S,49,"Daniel Green"
1,1,female,0,1,C,50,"Emma Martin"
0,3,male,1,0,S,51,"Joseph Young"
1,3,female,0,0,Q,52,"Ava Hall"
0,2,male,0,0,S,53,"Alexander King"
1,2,female,2,1,S,54,"Chloe Turner"
0,3,male,0,0,S,55,"Benjamin Adams"
1,1,female,1,0,S,56,"Sophia Harris"
0,3,male,8,2,S,57,"Ethan Turner"
1,3,female,0,0,S,58,"Oliver White"
0,2,male,0,0,S,59,"Jack Roberts"
1,2,female,1,0,C,60,"Isabella Mitchell"
0,3,male,0,0,S,61,"James Anderson"
1,3,female,0,0,Q,62,"Mia Martinez"
0,1,male,0,0,S,63,"Alexander Johnson"
1,2,female,1,1,S,64,"Sophia Brown"
0,3,male,2,0,S,65,"Noah Davis"
1,3,female,1,2,S,66,"Olivia Wilson"
0,2,male,0,0,S,67,"Daniel Harris"
1,1,female,0,0,C,68,"Emma Anderson"
0,3,male,1,0,S,69,"Liam Smith"
1,3,female,2,0,Q,70,"Ava Moore"
